date,DBC_weight,SHY_weight,SPY_weight
2022-06-30,0.0,0.0,0.0
2022-07-31,0.1432142857142856,0.2864285714285713,0.5703571428571429
2022-08-31,0.1451605506293881,0.4623404315609272,0.3924990178096847
2022-09-30,0.0498826247867527,0.0722741448290004,0.8778432303842468
2022-10-31,0.0488060588217475,0.0616159660663026,0.8727939332320358
2022-11-30,0.0459981639518952,0.0451143799623623,0.9088874560857424
2022-12-31,0.0472929188744148,0.0477331312338869,0.904973949891698
2023-01-31,0.0451118688485093,0.045479285187742,0.8991717381773137
2023-02-28,0.0547093869654124,0.046296941231325,0.8989936718032625
2023-03-31,0.052868879670267,0.0455150574085974,0.9016160629211356
2023-04-30,0.0517412524515916,0.0449940951389391,0.9032646524094692
2023-05-31,0.0484406899999963,0.0448389935174058,0.9067203164825978
2023-06-30,0.0470476062848208,0.0420932516248776,0.904138825607704
2023-07-31,0.055966814190469,0.0408434238887292,0.9031897619208016
2023-08-31,0.0566524939264305,0.0416654064897689,0.9016820995838004
2023-09-30,0.0600269636300471,0.0434584122214155,0.8965146241485372
2023-10-31,0.060176718394618,0.0445144753842305,0.8953088062211514
2023-11-30,0.0544037068921555,0.686424992363573,0.2591713007442712
2023-12-31,0.051778060864521,0.0957001108422778,0.8525218282932011
2024-01-31,0.0517518845701035,0.0947086793275288,0.8535394361023676
2024-02-29,0.0488724578629472,0.0904701008854322,0.8606574412516206
2024-03-31,0.049536587084648,0.053171799976659,0.8906786271297713
2024-04-30,0.059028883337214,0.0548876578130908,0.8860834588496952
2024-05-31,0.0563230496086069,0.0529071445820203,0.8907698058093727
2024-06-30,0.0545107813137915,0.0515721410717377,0.8939170776144707
2024-07-31,0.0524657034255941,0.051668590091545,0.8843015700448607
2024-08-31,0.0616916798847606,0.0511207743824264,0.8871875457328129
2024-09-30,0.0610098961289882,0.0505806888726445,0.8884094149983673
2024-10-31,0.0623492087705411,0.0506409373299695,0.8870098538994893
2024-11-30,0.0457498175850632,0.047649925673781,0.9066002567411556
2024-12-31,0.0475403171374927,0.0487981434476567,0.9036615394148504
2025-01-31,0.0476476520583921,0.0477748727738611,0.9045774751677468
2025-02-28,0.0482493416791788,0.0486673948243762,0.903083263496445
