date,DBC_ret,SPY_ret,SHY_ret,DBC_weight,SHY_weight,SPY_weight
2022-06-30,-0.075000017,-0.082460466,-0.00594306,0.3100034296512604,0.5606696605682373,0.1293269991874694
2022-07-31,-0.019894885,0.092087526,0.00409782,0.3284973204135895,0.4190694093704223,0.2524333000183105
2022-08-31,-0.014936792,-0.040802069,-0.008100066,0.1734631657600402,0.5664745569229126,0.2600623071193695
2022-09-30,-0.070373177,-0.092445597,-0.011923302,0.5053925514221191,0.3327583372592926,0.1618491113185882
2022-10-31,0.050606456,0.0812753,-0.001257647,0.1762741357088089,0.6591319441795349,0.1645939499139785
2022-11-30,0.014729295,0.055591659,0.006937854,0.3455367684364319,0.4802534282207489,0.1742098182439804
2022-12-31,-0.027115175,-0.057628216,0.001177203,0.6292710900306702,0.1453589648008346,0.2253699600696563
2023-01-31,0.008924958,0.062887238,0.007761238,0.4833248853683471,0.1951735168695449,0.3215015530586242
2023-02-28,-0.044632125,-0.025142639,-0.008058997,0.2267115414142608,0.4926375150680542,0.2806509733200073
2023-03-31,-0.000841744,0.037077877,0.016479334,0.7049262523651123,0.2136032879352569,0.0814704671502113
2023-04-30,-0.007582163,0.01597492,0.002439774,0.3874491751194,0.2962916791439056,0.3162591159343719
2023-05-31,-0.064091667,0.004616079,-0.003768914,0.5738204121589661,0.2817400097846985,0.144439548254013
2023-06-30,0.029478491,0.064799756,-0.004945617,0.0397312752902507,0.8440756797790527,0.1161930412054061
2023-07-31,0.087224659,0.03273336,0.003041722,0.4600738883018493,0.274733304977417,0.2651929259300232
2023-08-31,-0.003646731,-0.016251912,0.004103176,0.3053652048110962,0.3633200824260711,0.3313147127628326
2023-09-30,0.015046809,-0.04743447,-0.000789468,0.3117386400699615,0.4478310048580169,0.240430399775505
2023-10-31,-0.01802886,-0.021708715,0.003330776,0.2993922829627991,0.5612844228744507,0.1393233239650726
2023-11-30,-0.024479766,0.091343906,0.010519533,0.4016747176647186,0.2616797387599945,0.3366454839706421
2023-12-31,-0.032912892,0.045655294,0.011034293,0.5529755353927612,0.327127993106842,0.1198964416980743
2024-01-31,0.013157915,0.01592647,0.003169076,0.3037174344062805,0.3408100306987762,0.3554725348949432
2024-02-29,-0.015226189,0.052186856,-0.003875445,0.2454573363065719,0.6040902733802795,0.1504523456096649
2024-03-31,0.0445657,0.032702039,0.003435749,0.6450036764144897,0.2786020040512085,0.0763943642377853
2024-04-30,0.016107959,-0.040319767,-0.004416488,0.3137243986129761,0.2520916163921356,0.4341839849948883
2024-05-31,-0.00299913,0.050579732,0.007195113,0.2708415687084198,0.6009140610694885,0.1282443255186081
2024-06-30,-0.001718981,0.035280193,0.005442597,0.468493789434433,0.3961491584777832,0.1353570520877838
2024-07-31,-0.027980999,0.012109121,0.01179655,0.3509690165519714,0.412503719329834,0.2365272343158722
2024-08-31,-0.020814903,0.023365501,0.008919547,0.248779758810997,0.5706561803817749,0.1805640608072281
2024-09-30,0.007236578,0.021004653,0.007732248,0.0952603444457054,0.5818102955818176,0.3229293525218963
2024-10-31,0.014369082,-0.00892349,-0.006238203,0.4389606416225433,0.3268564641475677,0.2341829389333725
2024-11-30,-0.019920371,0.059633385,0.002960526,0.4427217841148376,0.2971208989620209,0.2601573765277862
2024-12-31,0.017227279,-0.024060113,0.002504667,0.2187531739473343,0.565561830997467,0.2156849801540374
2025-01-31,0.027595892,0.026856326,0.003781364,0.2099536806344986,0.4372338652610779,0.3528124988079071
2025-02-28,0.00136553,-0.012694791,0.007352133,0.3049346208572387,0.509324312210083,0.1857411116361618
